taxon	sequenceID	isolate	country	collection_year	sampled_host_sci_name	combined-iso-details	lineage	clade	combined
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/AY765264	AY765264	97-103	-	-	Culex pipiens	-/-/Culex pipiens	3	-	3/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/DQ164202	DQ164202	OH 2002	-	2002	Homo sapiens	-/2002/Homo sapiens	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/FJ159129	FJ159129	101_5-06-Uu	-	2006	Uranotaenia unguiculata (mosquito)	-/2006/Uranotaenia unguiculata (mosquito)	4	-	4/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/GQ379161	GQ379161	ArEq003	-	2006	equine	-/2006/equine	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/GQ851602	GQ851602	MRM16	-	1960	Culex annulirostris	-/1960/Culex annulirostris	1	B	1/B
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/GU011992	GU011992	Ita09	-	2009	Homo sapiens	-/2009/Homo sapiens	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/HM152773	HM152773	WNV_0043h_ISR00	-	2000	Homo sapiens	-/2000/Homo sapiens	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JF719069	JF719069	Spain/2010/H-1b	-	2010	Equus caballus	-/2010/Equus caballus	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JN887352	JN887352	NSW2011	-	2011	Equus caballus	-/2011/Equus caballus	1	B	1/B
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JX041629	JX041629	LEIV-1628Az	-	1967	Aves	-/1967/Aves	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JX041630	JX041630	LEIV-1640Az	-	1967	Aves	-/1967/Aves	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JX041632	JX041632	Ig2266	-	1955	Culex vishnui (mosquito)	-/1955/Culex vishnui (mosquito)	5	-	5/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JX123030	JX123030	V11-03	-	2011	Equus caballus	-/2011/Equus caballus	1	B	1/B
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/JX442279	JX442279	XJ11129	-	2011	Culex pipiens pipiens	-/2011/Culex pipiens pipiens	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KF234080	KF234080	Italy/2009/FIN	-	2009	Homo sapiens	-/2009/Homo sapiens	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KJ501362	KJ501362	WNV-1/US/BID-V6567/2001	-	2001	Corvus brachyrhynchos	-/2001/Corvus brachyrhynchos	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KJ883350	KJ883350	Greece/2013/Thessaloniki_3	-	2013	Homo sapiens	-/2013/Homo sapiens	2	-	2/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KJ934710	KJ934710	Hyalomma/Romania/2013	-	2013	Hyalomma marginatum marginatum	-/2013/Hyalomma marginatum marginatum	2	-	2/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KU978766	KU978766	COL 739-08	-	2008	Phoenicopterus ruber	-/2008/Phoenicopterus ruber	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KU978769	KU978769	TM 171-03	-	2003	Corvus sp.	-/2003/Corvus sp.	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KU978770	KU978770	I 804994	-	1988	Homo sapiens	-/1988/Homo sapiens	5	-	5/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KX547428	KX547428	WNV-1/Culiseta sp./USA/39020401/2002	-	2002	Culiseta sp.	-/2002/Culiseta sp.	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KY703854	KY703854	ArD76986/1990/SN	-	1990	Culex poicilipes	-/1990/Culex poicilipes	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KY703855	KY703855	ArD96655/1993/SN	-	1993	Rhipicephalus guilhoni	-/1993/Rhipicephalus guilhoni	7	-	7/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/KY703856	KY703856	ArD94343/1992/SN	-	1992	Culex perfuscus	-/1992/Culex perfuscus	8	-	8/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/MH643887	MH643887	BeAn854747	-	2018	equine	-/2018/equine	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/MT863559	MT863559	Akela/France/2015	-	2015	Equus caballus	-/2015/Equus caballus	1	A	1/A
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/MW142225	MW142225	LE4/2020/Leipzig/Germany	-	2020	Homo sapiens	-/2020/Homo sapiens	2	-	2/-
alignment/AL_UNC_WNV_ROOT/member/ncbi-refseqs/NC_009942	NC_009942	385-99	-	-	-	-/-/-	1	A	1/A
