sequenceID	patent_associated
FV537222	TRUE
FV537223	TRUE
FV537224	TRUE
FV537225	TRUE
FW376249	TRUE
FW376250	TRUE
FW376251	TRUE
FW376252	TRUE
FW376253	TRUE
FW376254	TRUE
FW376255	TRUE
FW376256	TRUE
FW376257	TRUE
GM968054	TRUE
GM968056	TRUE
GM968057	TRUE
GM968059	TRUE
GM968060	TRUE
GM968061	TRUE
GM968063	TRUE
GM968065	TRUE
GM968067	TRUE
HC467785	TRUE
HC467786	TRUE
HC467787	TRUE
HC467788	TRUE
HC467789	TRUE
HC467790	TRUE
HC467791	TRUE
HC467792	TRUE
HC467793	TRUE
HC467794	TRUE
HC467795	TRUE
HC467796	TRUE
HC467797	TRUE
HC467798	TRUE
HC467799	TRUE
HC467800	TRUE
HC467801	TRUE
HC467802	TRUE
HC467803	TRUE
HC467804	TRUE
HC467805	TRUE
HC467806	TRUE
HH961662	TRUE
HH961664	TRUE
HV572290	TRUE
HV572291	TRUE
HV572292	TRUE
HV572293	TRUE
HV572294	TRUE
HV572295	TRUE
HV572296	TRUE
HV572297	TRUE
HV572298	TRUE
HV572299	TRUE
HV572300	TRUE
HV572301	TRUE
HV572302	TRUE
HV572303	TRUE
HV572304	TRUE
HV572305	TRUE
HV572306	TRUE
HV572307	TRUE
HV572308	TRUE
HV572309	TRUE
HV572310	TRUE
HV572311	TRUE
HW816170	TRUE
HW816171	TRUE
HW816172	TRUE
HW816173	TRUE
HW816174	TRUE
HW816175	TRUE
HW816176	TRUE
HW816177	TRUE
HW816178	TRUE
HW816179	TRUE
HW816180	TRUE
HW816181	TRUE
HW816182	TRUE
HW816183	TRUE
HW816184	TRUE
HW816185	TRUE
HW816186	TRUE
HW816187	TRUE
HW816188	TRUE
HW816189	TRUE
HW816190	TRUE
HW816191	TRUE
LQ868182	TRUE
LQ868183	TRUE
LQ868184	TRUE
LQ868185	TRUE
LQ868186	TRUE
LQ868187	TRUE
LQ868188	TRUE
LQ868189	TRUE
LQ868190	TRUE
LQ868191	TRUE
