sequenceID	lineage	clade
AB285163	5	-
AF017254	1	A
AF130362	1	A
AF130363	1	A
AF146082	1	A
AF194117	1	A
AF196493	1	B
AF196494	1	B
AF196495	1	B
AF196496	1	B
AF196498	1	B
AF196499	1	B
AF196500	1	B
AF196501	1	B
AF196502	1	B
AF196505	1	B
AF196510	1	B
AF196512	1	B
AF196520	1	B
AF196523	1	B
AF196531	2	-
AF196532	7	-
AF196533	2	-
AF196534	-	-
AF196535	2	-
AF196536	1	A
AF196537	5	-
AF196538	5	-
AF196539	2	-
AF196540	5	-
AF196541	1	A
AF196542	1	A
AF196543	2	-
AF206517	1	A
AF206519	1	A
AF206520	1	A
AF208017	2	-
AF297840	1	B
AF297841	1	B
AF297842	1	B
AF297843	1	B
AF297844	1	B
AF297845	1	B
AF297846	1	B
AF297847	1	B
AF297848	1	B
AF297849	1	B
AF297850	1	B
AF297851	1	-
AF297852	1	B
AF297853	1	B
AF297854	1	B
AF297855	1	B
AF297856	1	B
AF297857	1	-
AF297858	1	B
AF297859	1	B
AF346309	1	A
AF346310	1	A
AF346311	1	A
AF346312	1	A
AF346313	1	A
AF346314	1	A
AF346315	1	A
AF346316	1	A
AF346317	1	A
AF346318	1	A
AF346319	1	A
AF372405	1	A
AF375042	1	A
AF375043	1	A
AF375044	1	A
AF375045	1	A
AF375223	1	A
AF380663	1	A
AF380664	1	A
AF380665	1	A
AF380666	1	A
AF380667	1	A
AF380668	1	A
AF380669	1	A
AF380670	1	A
AF380671	1	A
AF385215	1	A
AF385216	1	A
AF385217	1	A
AF385218	1	A
AF385219	1	A
AF385220	1	A
AF385221	1	A
AF385222	1	A
AF385223	1	A
AF385224	1	A
AF385225	1	A
AF385226	1	A
AF385227	1	A
AF385228	1	A
AF385229	1	A
AF385230	1	A
AF385231	1	A
AF385232	1	A
AF385233	1	A
AF385234	1	A
AF385235	1	A
AF385236	1	A
AF385237	1	A
AF385238	1	A
AF385239	1	A
AF385240	1	A
AF385241	1	A
AF385242	1	A
AF385243	1	A
AF385244	1	A
AF385245	1	A
AF385246	1	A
AF385247	1	A
AF385248	1	A
AF385249	1	A
AF385250	1	A
AF385251	1	A
AF385252	1	A
AF385253	1	A
AF385254	1	A
AF385255	1	A
AF385256	1	A
AF385257	1	A
AF385258	1	A
AF385259	1	A
AF385260	1	A
AF385261	1	A
AF385262	1	A
AF385263	1	A
AF385264	1	A
AF385265	1	A
AF385266	1	A
AF385267	1	A
AF385268	1	A
AF385269	1	A
AF385270	1	A
AF385271	1	A
AF385272	1	A
AF385273	1	A
AF385274	1	A
AF385275	1	A
AF385276	1	A
AF385277	1	A
AF385278	1	A
AF385279	1	A
AF385280	1	A
AF385281	1	A
AF385282	1	A
AF385283	1	A
AF385284	1	A
AF385285	1	A
AF385286	1	A
AF385287	1	A
AF385288	1	A
AF385289	1	A
AF385290	1	A
AF385291	1	A
AF385292	1	A
AF394221	2	-
AF412270	1	A
AF412271	1	A
AF412272	1	A
AF412273	1	A
AF412274	1	A
AF459403	2	-
AH011619	1	A
AY033388	1	A
AY033389	1	A
AY033390	1	A
AY033391	1	A
AY052406	1	A
AY052407	1	A
AY052408	1	A
AY052409	1	A
AY052410	1	A
AY052411	1	A
AY052412	1	A
AY052413	1	A
AY093705	1	A
AY093706	1	A
AY093707	1	A
AY184820	1	A
