taxon	sequenceID	isolate	country	collection_year	sampled_host_sci_name	combined-iso-details	lineage	clade	combined
alignment/AL_WNV_Lineage2/member/ncbi-curated/DQ176636	DQ176636	Madagascar-AnMg798	Madagascar	1978	-	Madagascar/1978/-	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/EU068667	EU068667	SPU116-89	South Africa	-	-	South Africa/-/-	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/FJ425721	FJ425721	Reb_VLG_07_H	Russia	2007	Homo sapiens	Russia/2007/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/JN858070	JN858070	Italy/2011/AN-2	Italy	2011	Homo sapiens; age: 56; sex: male	Italy/2011/Homo sapiens; age: 56; sex: male	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/JX041631	JX041631	LEIV-3266Ukr	Ukraine	1980	Aves	Ukraine/1980/Aves	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF179639	KF179639	Greece/2012/Kavala/39.1	Greece	2012	Homo sapiens	Greece/2012/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF179640	KF179640	Austria/2008_gh	Austria	2008	Accipiter gentilis	Austria/2008/Accipiter gentilis	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF588365	KF588365	Italy/2013/Rovigo/32.1	Italy	2013	Homo sapiens	Italy/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF647249	KF647249	Italy/2013/Rovigo/33.2	Italy	2013	Homo sapiens	Italy/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF647251	KF647251	Italy/2013/Padova/34.1	Italy	2013	Homo sapiens	Italy/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF647252	KF647252	Italy/2013/Rovigo/35.1	Italy	2013	Homo sapiens	Italy/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KF823806	KF823806	Italy/2013/Mantova/40.1	Italy	2013	Homo sapiens	Italy/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KJ577738	KJ577738	Greece/2013/C105	Greece	2013	Homo sapiens	Greece/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KJ883346	KJ883346	Greece/2013/Thessaloniki_4	Greece	2013	Homo sapiens	Greece/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KJ883349	KJ883349	Greece/2013/Xanthi_5	Greece	2013	Homo sapiens	Greece/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-refseqs/KJ883350	KJ883350	Greece/2013/Thessaloniki_3	Greece	2013	Homo sapiens	Greece/2013/Homo sapiens	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-refseqs/KJ934710	KJ934710	Hyalomma/Romania/2013	Romania	2013	Hyalomma marginatum marginatum	Romania/2013/Hyalomma marginatum marginatum	2	-	2/-
alignment/AL_WNV_Lineage2/member/ncbi-curated/KP109691	KP109691	blood donor/Vienna/2014	Austria	2014	Homo sapiens	Austria/2014/Homo sapiens	2	-	2/-
