sequenceID	missing_country
AJ965626	Portugal
AJ965628	Portugal
AJ965629	Portugal
AJ965630	Portugal
OP612497	Turkey
OP612498	Turkey
OP612499	Turkey
OP612500	Turkey
OP612501	Turkey
OP612502	Turkey
OP612503	Turkey
OP612504	Turkey
OP612505	Turkey
OP612506	Turkey
KR348915	USA
KR348916	USA
KR348917	USA
KR348918	USA
KR348919	USA
KR348920	USA
KR348921	USA
KR348922	USA
KR348923	USA
KR348924	USA
KR348925	USA
KR348926	USA
KR348927	USA
KR348928	USA
KR348929	USA
KR348930	USA
KR348931	USA
KR348932	USA
KR348933	USA
KR348934	USA
KR348935	USA
KR348936	USA
KR348937	USA
KR348938	USA
KR348939	USA
KR348940	USA
KR348941	USA
KR348942	USA
KR348943	USA
KR348944	USA
KR348945	USA
KR348946	USA
KR348947	USA
KR348948	USA
KR348949	USA
KR348950	USA
KR348951	USA
KR348952	USA
KR348953	USA
KR348954	USA
KR348955	USA
KR348956	USA
KR348957	USA
KR348958	USA
KR348959	USA
KR348960	USA
KR348961	USA
KR348962	USA
KR348963	USA
KR348964	USA
KR348965	USA
KR348966	USA
KR348967	USA
KR348968	USA
KR348969	USA
KR348970	USA
KR348971	USA
KR348972	USA
KR348973	USA
KR348974	USA
KR348975	USA
KR348976	USA
KR348977	USA
KR348978	USA
KR348979	USA
KR348980	USA
KR348981	USA
KR348982	USA
KR348983	USA
KR348984	USA
KR348985	USA
KR348986	USA
KR348987	USA
KR348988	USA
KR348989	USA
KR348990	USA
KR348991	USA
KR348992	USA
KR348993	USA
KR348994	USA
KR348995	USA
KR348996	USA
KR348997	USA
KR348998	USA
KR348999	USA
KR349000	USA
KR349001	USA
KR349002	USA
KR349003	USA
KR349004	USA
KR349005	USA
KR349006	USA
KR349007	USA
KR349008	USA
KR349009	USA
KR349010	USA
KR349011	USA
KR349012	USA
KR349013	USA
KR349014	USA
KR349015	USA
KR349016	USA
KR349017	USA
KR349018	USA
KR349019	USA
KR349020	USA
KR349021	USA
KR349022	USA
KR349023	USA
KR349024	USA
KR349025	USA
KR349026	USA
AY369403	USA
AY369404	USA
AY369405	USA
AY369406	USA
AY369407	USA
AY369408	USA
AY369409	USA
AY369410	USA
AY369411	USA
AY369412	USA
AY369413	USA
AY369414	USA
AY369415	USA
AY369416	USA
AY369417	USA
AY369418	USA
AY369419	USA
AY369420	USA
AY369421	USA
AY369422	USA
AY369423	USA
AY369424	USA
AY369425	USA
AY369426	USA
AY369427	USA
AY369428	USA
AY369429	USA
AY369430	USA
AY369431	USA
AY369432	USA
AY369433	USA
AY369434	USA
AY369435	USA
AY369436	USA
AY369437	USA
AY369438	USA
AY369439	USA
AY369440	USA
AY369441	USA
AY369442	USA
AY369443	USA
AY369444	USA
AY369445	USA
AY369446	USA
AY369447	USA
AY369448	USA
AY369449	USA
AY369450	USA
AY369451	USA
AY369452	USA
AY369453	USA
AY369454	USA
DQ158208	USA
DQ158209	USA
DQ158210	USA
DQ158211	USA
DQ158212	USA
DQ158213	USA
DQ158214	USA
DQ158215	USA
DQ158216	USA
DQ158217	USA
DQ158218	USA
DQ158219	USA
DQ158220	USA
DQ158221	USA
DQ158222	USA
DQ158223	USA
DQ158224	USA
DQ158225	USA
DQ158226	USA
DQ158227	USA
DQ158228	USA
DQ158229	USA
DQ158230	USA
DQ158231	USA
DQ158232	USA
DQ158233	USA
DQ158234	USA
DQ158235	USA
DQ158236	USA
DQ158237	USA
DQ158238	USA
DQ158239	USA
DQ158240	USA
DQ158241	USA
DQ158242	USA
DQ158243	USA
DQ158244	USA
DQ158245	USA
DQ158246	USA
DQ158247	USA
DQ158248	USA
DQ158249	USA
DQ158250	USA
OP561452	Italy
OP561453	Italy
OP561454	Italy
OP561455	Italy
OP561456	Italy
OP561457	Italy
OP561458	Italy
OP561459	Italy
